TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-101658-2024","2025-01-25 14:27:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1440750","85.09","85.09","2 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101659-2024","2025-01-25 14:28:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1026174","60.57","60.57","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101660-2024","2025-01-25 15:26:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","537462.4","30.27","30.27","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101661-2024","2025-01-25 15:20:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1058599","57.45","57.45","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101662-2024","2025-01-25 14:43:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","519017","29.42","29.42","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101666-2024","2025-01-25 14:13:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","798421","51.9","51.9","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101667-2024","2025-01-25 15:43:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","959688","61.33","61.33","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101668-2024","2025-01-25 15:25:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","947845.6","60.48","60.48","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101669-2024","2025-01-25 15:29:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1169809","60.54","60.54","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101670-2024","2025-01-25 14:31:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","970525.6","61.24","61.24","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101671-2024","2025-01-25 15:41:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","946541.6","60.57","60.57","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101672-2024","2025-01-25 15:22:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","970525.6","61.24","61.24","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101673-2024","2025-01-25 15:27:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","538971.2","30.27","30.27","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101674-2024","2025-01-25 15:42:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","531072","30.27","30.27","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101675-2024","2025-01-25 14:36:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","961468","61.33","61.33","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101693-2024","2025-01-06 12:21:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","2808122","186.59","186.59","3 B/R","","","","","1","1","","Haven By Aldar 1"
"102-1017-2025","2025-01-08 11:39:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","1906476","127.92","127.92","2 B/R","1","","","","1","1","","Verdes by Haven 1"
"102-101711-2024","2025-01-25 14:24:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","554000","29.73","29.73","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-101712-2024","2025-01-25 14:11:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","982601","60.56","60.56","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-1019-2025","2025-01-08 11:42:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","2115647","129.2","129.2","2 B/R","1","","","","1","1","","Verdes by Haven 1"
"102-102-2025","2025-01-02 15:36:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","1730433","133.74","133.74","2 B/R","1","","","","1","1","","Verdes by Haven 1"
"102-1020-2025","2025-01-08 11:47:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","2085549","141.85","141.85","2 B/R","1","","","","1","1","","Verdes by Haven 1"
"102-1021-2025","2025-01-08 12:04:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","3214888","109.63","109.63","2 B/R","1","","","","1","1","","Vida Residences Club Point"
"102-1022-2025","2025-01-08 12:10:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4060888","281.68","281.68","4 B/R","","","","","1","1","","Greenville 2"
"102-1023-2025","2025-01-10 09:11:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","3378000","173.17","173.17","2 B/R","1","","","","2","1","","Lacina"
"102-1024-2025","2025-01-08 11:54:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","1856178","135.36","135.36","2 B/R","1","","","","2","1","","Verdes by Haven 1"
"102-1025-2025","2025-01-08 12:11:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2841888","180.14","180.14","3 B/R","","","","","2","1","","The Valley - Venera"
"102-1026-2025","2025-01-08 12:14:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","2953888","116.38","116.38","2 B/R","1","","","","2","1","","Address Residences l Dubai Hills Estate"
"102-1027-2025","2025-01-08 11:59:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Unit","Flat","1951451","124.03","124.03","2 B/R","1","","","","1","1","","Verdes by Haven 1"
"102-102755-2024","2025-01-25 15:36:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","589108.5","30.55","30.55","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102756-2024","2025-01-25 14:04:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","594383.46","30.55","30.55","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102758-2024","2025-01-25 15:49:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","578374","30.53","30.53","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102759-2024","2025-01-25 14:47:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","896000","51.9","51.9","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","RED SQUARE"
"102-102760-2024","2025-01-25 14:09:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","565640","30.29","30.29","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102762-2024","2025-01-25 14:45:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","881115","51.9","51.9","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102763-2024","2025-01-17 08:43:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","764000","49.48","49.48","Studio","1","","","IMG World Adventures","1","1","","Samana Park Meadows"
"102-102767-2024","2025-01-25 15:51:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","969187","60.56","60.56","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102771-2024","2025-01-06 20:38:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","2046510.7","110.4","110.4","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","VOLGA TOWER"
"102-102772-2024","2025-01-25 13:59:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","879606","51.9","51.9","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","RED SQUARE"
"102-102776-2024","2025-01-25 14:56:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","602364","29.92","29.92","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102778-2024","2025-01-25 15:34:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","695623","35.44","35.44","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102779-2024","2025-01-25 14:01:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","613275","29.42","29.42","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","RED SQUARE"
"102-102780-2024","2025-01-25 13:52:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","627732","29.91","29.91","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102781-2024","2025-01-25 15:32:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","607500","30.28","30.28","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102782-2024","2025-01-25 15:35:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","545743","28.13","28.13","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102785-2024","2025-01-25 15:02:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","710288","35.44","35.44","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102786-2024","2025-01-25 15:39:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","539802","29.44","29.44","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102789-2024","2025-01-25 14:18:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","693526","35.44","35.44","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102799-2024","2025-01-17 08:37:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","739000","40.62","40.62","Studio","1","","","IMG World Adventures","1","1","","Samana Park Meadows"
"102-1028-2025","2025-01-08 12:15:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1890000","120.49","120.49","2 B/R","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","1","1","","South Garden B"
"102-102800-2024","2025-01-25 15:10:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","584768","29.73","29.73","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102801-2024","2025-01-25 14:52:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","889461.25","51.9","51.9","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102826-2024","2025-01-06 20:39:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","2135267","116.25","116.25","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","VOLGA TOWER"
"102-102829-2024","2025-01-25 15:47:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","556339","29.73","29.73","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102832-2024","2025-01-25 15:00:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","562711","28.78","28.78","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102833-2024","2025-01-25 15:46:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","526994","28.78","28.78","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
"102-102838-2024","2025-01-25 15:07:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","586414","29.91","29.91","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","RED SQUARE"
